precision,recall,threshold
0.6926795580110497,1.0,0.009231270636248607
0.6931582584657913,1.0,0.009455699302969195
0.6936376210235131,1.0,0.009679824833381395
0.6941176470588235,1.0,0.009742376291860495
0.6945983379501385,1.0,0.010166212527393229
0.695079695079695,1.0,0.010477154230362678
0.6955617198335645,1.0,0.010760679525015632
0.6960444136016655,1.0,0.011122607372684511
0.6965277777777777,1.0,0.011233755108298299
0.6970118137595552,1.0,0.011329026724040197
0.6974965229485396,1.0,0.011532232212064397
0.697981906750174,1.0,0.011683492273837392
0.6984679665738162,1.0,0.011733491023522915
0.6989547038327526,1.0,0.01183165207786446
0.699442119944212,1.0,0.012550704812469324
0.6999302163293789,1.0,0.012601937943651135
0.7004189944134078,1.0,0.012673619495212165
0.7009084556254368,1.0,0.013103708483284047
0.7013986013986014,1.0,0.013109330074552398
0.701889433170049,1.0,0.013143923777058053
0.7023809523809523,1.0,0.013604365088550983
0.7028731604765242,1.0,0.01404040300738481
0.7033660589060309,1.0,0.014173382066958373
0.703859649122807,1.0,0.014175574881517399
0.7043539325842697,1.0,0.014817672499698913
0.7048489107519326,1.0,0.01597081018212964
0.7053445850914205,1.0,0.015977618209694795
0.7058409570724842,1.0,0.01602851517195181
0.706338028169014,1.0,0.01666148496177161
0.7068357998590556,1.0,0.01713787683027996
0.7073342736248237,1.0,0.0171776182096948
0.707833450952717,1.0,0.017212326138595795
0.7083333333333334,1.0,0.017374127779105752
0.7088339222614841,1.0,0.017480692123958863
0.7093352192362093,1.0,0.01751128510835235
0.7098372257607927,1.0,0.01768260303447861
0.7103399433427762,1.0,0.018202699384627822
0.7108433734939759,1.0,0.018277834392394228
0.7113475177304964,1.0,0.01862088228661892
0.7118523775727467,1.0,0.01904423086967927
0.7123579545454546,1.0,0.02056184850528514
0.7128642501776831,1.0,0.02100987133745204
0.713371266002845,1.0,0.021166702078632315
0.7138790035587189,1.0,0.021451488394711865
0.7143874643874644,1.0,0.02199117531248834
0.714896650035638,1.0,0.02222433392369667
0.7154065620542083,1.0,0.0223400910673395
0.7159172019985724,1.0,0.023085703160246347
0.7164285714285714,1.0,0.023267110883885694
0.7169406719085061,1.0,0.02421627271791585
0.7174535050071531,1.0,0.02426843647943019
0.717967072297781,1.0,0.025300002975337816
0.7184813753581661,1.0,0.025741651478927426
0.7189964157706094,1.0,0.026444575285896894
